Title,PMID,Authors,Affiliations,Abstract,Journal,Grants_and_Funding,Conflict_of_Interest,Impact_Factor,Mesh Terms,MeSH Term Descriptor IDs,Total Affiliations,Total Authors,Pub Type
Renal Thrombotic Microangiopathy: A Review.,36509342,"Dominique Suzanne Genest,Christopher J Patriquin,Christoph Licht,Rohan John,Heather N Reich","Division of Nephrology, University Health Network, Toronto, Ontario, Canada; Department of Medicine, Université de Montréal, Montreal, Quebec, Canada.////Division of Medical Oncology & Hematology, University Health Network, Toronto, Ontario, Canada; Department of Medicine, Toronto, Ontario, Canada; University of Toronto, Toronto, Ontario, Canada.////Division of Nephrology, University Health Network, Toronto, Ontario, Canada; Department of Medicine, Toronto, Ontario, Canada; University of Toronto, Toronto, Ontario, Canada; Division of Nephrology, Hospital for Sick Children, Toronto, Ontario, Canada.////Division of Laboratory Medicine and Pathology, University Health Network, Toronto, Ontario, Canada; University of Toronto, Toronto, Ontario, Canada.////Division of Nephrology, University Health Network, Toronto, Ontario, Canada; Department of Medicine, Toronto, Ontario, Canada; University of Toronto, Toronto, Ontario, Canada. Electronic address: heather.reich@uhn.ca.","Thrombotic microangiopathy (TMA), a pathological lesion observed in a wide spectrum of diseases, is triggered by endothelial injury and/or dysfunction. Although TMA lesions are often accompanied by clinical features of microangiopathic hemolytic anemia, thrombocytopenia, and ischemic end-organ injury, renal-limited forms of TMA are not infrequently encountered in clinical practice. The presence of renal-limited manifestations can be diagnostically challenging, often delaying the initiation of targeted therapy. Prompt investigation and empirical treatment of TMA is warranted to reduce associated morbidity and mortality. Major advances have been made with respect to the pathophysiology of primary TMA entities, with the subsequent development of novel diagnostic tools and lifesaving therapies for diseases like thrombotic thrombocytopenic purpura and complement-mediated TMA. This article will review the clinical presentation and pathologic hallmarks of TMA involving the kidney, and the disease-specific mechanisms that contribute to the endothelial injury that characterizes TMA lesions. Diagnostic approach and both empirical and disease-specific treatment strategies will be discussed, along with the potential role for emerging targeted disease-specific therapies.",American journal of kidney diseases : the official journal of the National Kidney Foundation,,,13.2,"Humans,Thrombotic Microangiopathies,Purpura, Thrombotic Thrombocytopenic,Anemia, Hemolytic,Kidney,Plasma Exchange","D006801,D057049,D011697,D000743,D007668,D010951",5,5,"Journal Article,Review,Research Support, Non-U.S. Gov't"
Long-Term Outcomes in IgA Nephropathy.,37055195,"David Pitcher,Fiona Braddon,Bruce Hendry,Alex Mercer,Kate Osmaston,Moin A Saleem,Retha Steenkamp,Katie Wong,A Neil Turner,Kaijun Wang,Daniel P Gale,Jonathan Barratt","UK Renal Registry, The UK Kidney Association, Bristol, United Kingdom.////Travere Therapeutics, Inc., San Diego, California.////JAMCO Pharma Consulting, Stockholm, Sweden.////University of Bristol & Bristol Royal Hospital for Children, Bristol, United Kingdom.////University of Edinburgh, Edinburgh, United Kingdom.////Department of Renal Medicine, University College London, London, United Kingdom.////University of Leicester & Leicester General Hospital, Leicester, United Kingdom.","IgA nephropathy can progress to kidney failure, and risk assessment soon after diagnosis has advantages both for clinical management and the development of new therapeutics. We present relationships among proteinuria, eGFR slope, and lifetime risks for kidney failure.",Clinical journal of the American Society of Nephrology : CJASN,MR/R013942/1/MRC_/Medical Research Council/United Kingdom ,"J. Barratt reports consultancy for Alnylam Pharmaceuticals, Argenx, Astellas, BioCryst, Calliditas, Chinook Therapeutics, Dimerix, Galapagos, GSK, Novartis, Omeros, Travere Therapeutics, UCB, Vera Therapeutics, and Visterra; research funding from Argenx, Calliditas, Chinook, Galapagos, GlaxoSmithKline, Novartis, Omeros, Travere Therapeutics, and Visterra; and advisory or leadership roles on the Editorial Boards of <i>CJASN, Clinical Science, Glomerular Diseases,</i> and <i>Kidney International</i>. F. Braddon reports employment with UK Kidney Association and UK Renal Registry. D.P. Gale reports consultancy for Alexion, Britannia, Calliditas, Judo Bio, Novartis, Reata Inc, and Travere Therapeutics, Inc.; research funding from Novartis, Pfizer, Sanofi, and Travere; and other interests or relationships as Trustee for AlportUK and Chair of UK Kidney Association Rare Diseases Committee. B. Hendry reports employment with Travere Therapeutics, stock in Travere Therapeutics, an advisory or leadership role for South West Thames Institute for Renal Research (Board Chair), and other interests or relationships as Emeritus Professor, King's College London. A. Mercer reports employment with JAMCO Pharma Consulting AB and consultancy for Travere Therapeutics, Inc and Vera Therapeutics, Inc. K. Osmaston reports employment with UK Kidney Association. D. Pitcher reports employment with UK Kidney Association and current ongoing work as part of employment with UK Kidney Association to analyze data held in the UK National Registry of Rare Kidney Diseases (RaDaR) with Travere Therapeutics, Pfizer, and Sanofi. M.A. Saleem reports employment with University of Bristol; consultancy for Confo Therapeutics, Mission Therapeutics, Pfizer, Purespring Therapeutics, Retrophin, and Travere Therapeutics, Inc.; ownership interest in Purespring Therapeutics; research funding from Evotec, Retrophin, and UCB; honoraria from Purespring Therapeutics as Director and Chief Scientific Officer; patents or royalties from Purespring Therapeutics and University of Bristol; and advisory or leadership role as Director, Purespring Therapeutics. R. Steenkamp reports employment with UK Kidney Association, UK Renal Registry. A.N. Turner reports consultancy for Purespring 2021–current, Enyo Pharma from 2022, and Calliditas Therapeutics from 2023; advisory board/speaker for Shire-Takeda (2017–20) and Sanofi-Genzyme (2019–current); speakers bureau for staff education, Chiesi 2022; and other interests or relationships as Trustee and supporter of the patient-led charity Alport UK. K. Wang reports employment with and stock in Travere. K. Wong reports employment with UK Kidney Association.",9.8,"Adult,Child,Humans,Glomerulonephritis, IGA,Kidney Failure, Chronic,Glomerular Filtration Rate,Kidney,Proteinuria,Disease Progression,Retrospective Studies","D000328,D002648,D006801,D005922,D007676,D005919,D007668,D011507,D018450,D012189",7,12,"Journal Article,Research Support, Non-U.S. Gov't"
Continuous KRT: A Contemporary Review.,35981873,"J Pedro Teixeira,Javier A Neyra,Ashita Tolwani","Divisions of Nephrology and Pulmonary, Critical Care, and Sleep Medicine, Department of Internal Medicine, University of New Mexico, Albuquerque, New Mexico.////Division of Nephrology, Bone, and Mineral Metabolism, Department of Internal Medicine, University of Kentucky, Lexington, Kentucky.////Division of Nephrology, Department of Medicine, University of Alabama at Birmingham, Birmingham, Alabama.","AKI is a common complication of critical illness and is associated with substantial morbidity and risk of death. Continuous KRT comprises a spectrum of dialysis modalities preferably used to provide kidney support to patients with AKI who are hemodynamically unstable and critically ill. The various continuous KRT modalities are distinguished by different mechanisms of solute transport and use of dialysate and/or replacement solutions. Considerable variation exists in the application of continuous KRT due to a lack of standardization in how the treatments are prescribed, delivered, and optimized to improve patient outcomes. In this manuscript, we present an overview of the therapy, recent clinical trials, and outcome studies. We review the indications for continuous KRT and the technical aspects of the treatment, including continuous KRT modality, vascular access, dosing of continuous KRT, anticoagulation, volume management, nutrition, and continuous KRT complications. Finally, we highlight the need for close collaboration of a multidisciplinary team and development of quality assurance programs for the provision of high-quality and effective continuous KRT.",Clinical journal of the American Society of Nephrology : CJASN,,"J.A. Neyra reports serving on the editorial boards of <i>Advances in Chronic Kidney Disease</i>, <i>American Journal of Kidney Diseases</i>, and <i>Kidney360</i>; serving as a guest editor for critical care nephrology in <i>Advances in Chronic Kidney Disease</i> and a section editor for <i>Clinical Nephrology</i>; and having consultancy agreements with Baxter Healthcare Inc., Biomedical Insights, and Leadiant Biosciences. J.P. Teixeira reports receiving research funding from Astute Medical/bioMérieux, La Jolla Pharmaceutical Company, Pfizer, Rediscovery Life Sciences LLC, and Sentien Biotechnologies Inc.; having ownership interest <i>via</i> current or previous stocks and/or options (in the last 24 months) in Clever Leaves Holdings, Flora Growth Corp., Green Thumb Industries Inc., Juva Life Inc., NeoGenomics Inc., Novocure Ltd., and Novo Nordisk A/S; and having consultancy agreements with, and serving on a speakers bureau for, Outset Medical. J.P. Teixeira's spouse reports honoraria from Cara Therapeutics. A. Tolwani reports serving on a speakers bureau for Baxter; having a patent on 0.5% trisodium citrate solution for CRRT anticoagulation (the license has been bought by Baxter); having consultancy agreements with Baxter Healthcare; serving on the editorial boards of <i>CJASN</i> and <i>Kidney International</i>; and receiving honoraria from UpToDate.",9.8,"Humans,Renal Replacement Therapy,Renal Dialysis,Dialysis Solutions,Acute Kidney Injury,Critical Illness","D006801,D017582,D006435,D015314,D058186,D016638",3,3,"Review,Journal Article"
Peritoneal Dialysis Prescription and Adequacy in Clinical Practice: Core Curriculum 2023.,36208963,"Bourne L Auguste,Joanne M Bargman","Department of Medicine, University of Toronto, Toronto, Ontario, Canada; Division of Nephrology, Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada.////Department of Medicine, University of Toronto, Toronto, Ontario, Canada; Division of Nephrology, Toronto General Hospital, Toronto, Ontario, Canada. Electronic address: joanne.bargman@uhn.ca.","As the global prevalence of peritoneal dialysis (PD) continues to grow, practitioners must be equipped with prescribing strategies that focus on the needs and preferences of patients. PD is an effective form of kidney replacement therapy that offers numerous benefits to patients, including more flexibility in schedules compared with in-center hemodialysis (HD). Additional benefits of PD include salt and water removal without significant changes in patient hemodynamics. This continuous yet gentle removal of solutes and fluid is associated with better-preserved residual kidney function. Unfortunately, sometimes these advantages are overlooked at the expense of an emphasis on achieving small solute clearance targets. A more patient-centered approach emphasizes the importance of individualized treatment, particularly when considering incremental PD and other prescriptions that align with lifestyle preferences. In shifting the focus from small solute clearance targets to patient needs and clinical goals, PD remains an attractive, patient-centered form of kidney replacement therapy.",American journal of kidney diseases : the official journal of the National Kidney Foundation,,,13.2,"Humans,Renal Dialysis,Peritoneal Dialysis,Renal Replacement Therapy,Prescriptions,Water,Kidney Failure, Chronic","D006801,D006435,D010530,D017582,D055656,D014867,D007676",2,2,"Journal Article,Review,Research Support, Non-U.S. Gov't"
Indications for and Timing of Initiation of KRT.,36100262,"Marlies Ostermann,Sean M Bagshaw,Nuttha Lumlertgul,Ron Wald","Department of Critical Care, King's College London, Guy's & St. Thomas' Hospital, London, United Kingdom.////Department of Critical Care Medicine, Faculty of Medicine and Dentistry, University of Alberta and Alberta Health Services, Edmonton, Alberta, Canada.////Division of Nephrology, St. Michael's Hospital and the University of Toronto, Toronto, Ontario, Canada.","KRT is considered for patients with severe AKI and associated complications. The exact indications for initiating KRT have been debated for decades. There is a general consensus that KRT should be considered in patients with AKI and medically refractory complications (""urgent indications""). ""Relative indications"" are more common but defined with less precision. In this review, we summarize the latest evidence from recent landmark clinical trials, discuss strategies to anticipate the need for KRT in individual patients, and propose an algorithm for decision making. We emphasize that the decision to consider KRT should be made in conjunction with other forms of organ support therapies and important nonkidney factors, including the patient's preferences and overall goals of care. We also suggest future research to differentiate patients who benefit from timely initiation of KRT from those with imminent recovery of kidney function. Until then, efforts are needed to optimize the initiation and delivery of KRT in routine clinical practice, to minimize nonessential variation, and to ensure that patients with persistent AKI or progressive organ failure affected by AKI receive KRT in a timely manner.",Clinical journal of the American Society of Nephrology : CJASN,,"S.M. Bagshaw is supported by a Canada Research Chair in Critical Care Outcomes and Systems Evaluation; reports consultancy agreements with Baxter, BioPorto, and Novartis; reports research funding from Baxter; reports honoraria from Baxter; reports fees from Baxter for scientific advisory and speaking; reports fees from BioPorto for scientific advisory and clinical adjudication; reports fees from Novartis for scientific advisory; serves as an associate editor for <i>Critical Care</i> and a Data and Safety Monitoring Board (DSMB) member for the The Investigation of Serial studies to Predict Your Therapeutic Response with Imaging And moLecular Analysis in COVID (I-SPY-COVID) trial; and serves on a speakers bureau for Baxter. M. Ostermann reports consultancy agreements with Biomerieux and NxStage; reports research funding from Baxter, Biomerieux, Fresenius Medical Care, and La Jolla Pharma; reports speaker honoraria from Baxter, Biomerieux, and Fresenius Medical; serves on the editorial boards of <i>Blood Purification</i>, <i>Critical Care</i>, <i>Intensive Care Medicine</i>, and <i>Nephrology Dialysis Transplantation</i>; and serves as a member of the Executive Committee of the European Society of Intensive Care Medicine and a member of the Executive Committee of the Intensive Care Society UK. R. Wald reports unrestricted research funding from Baxter and consulting fees from Lilly; serves on the editorial boards of <i>CJASN</i>, <i>Kidney360</i>, and <i>Kidney Medicine</i>; and is a contributor to UpToDate. All remaining authors have nothing to disclose.",9.8,"Humans,Renal Replacement Therapy,Algorithms,Acute Kidney Injury","D006801,D017582,D000465,D058186",3,4,"Review,Journal Article"
"Treatment Effect of the SGLT2 Inhibitor Empagliflozin on Chronic Syndrome of Inappropriate Antidiuresis: Results of a Randomized, Double-Blind, Placebo-Controlled, Crossover Trial.",36396331,"Julie Refardt,Cornelia Imber,Rianne Nobbenhuis,Clara O Sailer,Aaron Haslbauer,Sophie Monnerat,Cemile Bathelt,Deborah R Vogt,Manfred Berres,Bettina Winzeler,Stephanie A Bridenbaugh,Mirjam Christ-Crain","Department of Endocrinology, Diabetes, and Metabolism, University Hospital Basel, Basel, Switzerland.////University Department of Geriatric Medicine, Felix Platter Hospital, Basel, Switzerland.////Department of Clinical Research, University Hospital Basel, University of Basel, Basel, Switzerland.////Department of Mathematics and Technology, University of Applied Sciences, Koblenz, Germany.","The syndrome of inappropriate antidiuresis (SIAD) is characterized by a reduction of free water excretion with consecutive hypotonic hyponatremia and is therefore challenging to treat. The sodium-glucose cotransporter 2 (SGLT2) inhibitor empagliflozin promotes osmotic diuresis via urinary glucose excretion, likely leading to increased electrolyte free water clearance.",Journal of the American Society of Nephrology : JASN,,All authors have nothing to disclose.,13.6,"Humans,Female,Aged,Male,Sodium-Glucose Transporter 2 Inhibitors,Hypoglycemic Agents,Hyponatremia,Cross-Over Studies,Treatment Outcome,Benzhydryl Compounds,Double-Blind Method,Sodium,Glucose,Water,Diabetes Mellitus, Type 2","D006801,D005260,D000368,D008297,D000077203,D007004,D007010,D018592,D016896,D001559,D004311,D012964,D005947,D014867,D003924",4,12,"Randomized Controlled Trial,Journal Article,Research Support, Non-U.S. Gov't"
Treatment of IgA Nephropathy: A Rapidly Evolving Field.,37772889,"Khalil El Karoui,Fernando C Fervenza,An S De Vriese","Department of Nephrology, Hôpital Tenon, Sorbonne Université, Paris, France.////Division of Nephrology and Hypertension, Mayo Clinic, Rochester, Minnesota.////Division of Nephrology and Infectious Diseases, AZ Sint-Jan Brugge, Brugge, Belgium.","The pivotal event in the pathophysiology of IgA nephropathy is the binding of circulating IgA-containing immune complexes to mesangial cells, with secondary glomerular and tubulointerstitial inflammation and fibrosis. The paramount difficulty in the management of IgA nephropathy is the heterogeneity in its clinical presentation and prognosis, requiring an individualized treatment approach. Goal-directed supportive care remains the bedrock of therapy for all patients, regardless of risk of progression. Sodium-glucose transporter 2 inhibitors and sparsentan should be integral to contemporary supportive care, particularly in patients with chronic kidney damage. Pending the development of reliable biomarkers, it remains a challenge to identify patients prone to progression due to active disease and most likely to derive a net benefit from immunosuppression. The use of clinical parameters, including the degree of proteinuria, the presence of persistent microscopic hematuria, and the rate of eGFR loss, combined with the mesangial hypercellularity, endocapillary hypercellularity, segmental glomerulosclerosis, tubular atrophy/interstitial fibrosis, crescents score, is currently the best approach. Systemic glucocorticoids are indicated in high-risk patients, but the beneficial effects wane after withdrawal and come at the price of substantial treatment-associated toxicity. Therapies with direct effect on disease pathogenesis are increasingly becoming available. While targeted-release budesonide has garnered the most attention, anti-B-cell strategies and selective complement inhibition will most likely prove their added value. We propose a comprehensive approach that tackles the different targets in the pathophysiology of IgA nephropathy according to their relevance in the individual patient.",Journal of the American Society of Nephrology : JASN,,"A.S. De Vriese is scientific advisor/consultancy for Bluestar Bioadvisors, Confo Therapeutics, Goldfinch Bio, Liberum, Nipro Digital Technologies, Novartis, Pfizer, Vifor Pharma, and Xeltis; Research Funding: Amgen, Kaydence Pharma, and Nattopharma; and Speakers Bureau: Vifor Pharma. K. El Karoui is scientific advisor for Vifor Pharma and has received consulting fees from Alexion, Astra Zeneca, and Vifor Pharma; and Honoraria: Alexion, AstraZeneca, Otsuka, and Vifor Pharma. F.C. Fervenza has received unrestricted research grants from Genentech/Roche, Janssen Pharmaceuticals, and Travere, Morphosys AG; consulting fees from Alexion Pharmaceuticals, BioCryst, ChemoCentryx, Galapagos, GSK, Morphosys AG, Novartis, Otsuka Pharmaceuticals, Takeda, Travere, and Zyversa Therapeutics; Research Funding: Chemocentryx, Genentech/Roche, and Retrophin, Honoraria: UpToDate; and Advisory or Leadership Role: <i>JASN</i>, <i>Kidney International</i>, <i>Nephrology</i>, <i>Nephrology Dialysis Transplantation</i>, and UpToDate.",13.6,"Humans,Glomerulonephritis, IGA,Kidney Glomerulus,Glomerulosclerosis, Focal Segmental,Prognosis,Fibrosis","D006801,D005922,D007678,D005923,D011379,D005355",3,3,Journal Article
Management of Poisonings and Intoxications.,37097121,"Marc Ghannoum,Darren M Roberts","Research Center, CIUSSS du Nord-de-l'île-de-Montréal, University of Montreal, Montreal, Quebec, Canada, and Department of Nephrology and Hypertension, University Medical Center Utrecht and Utrecht University, Utrecht, The Netherlands.////New South Wales Poisons Information Centre, Sydney Children's Hospitals Network, Westmead, and Edith Collins Centre, Drug Health Services, Royal Prince Alfred Hospital, Sydney, New South Wales, Australia.","Poisoning occurs after exposure to any of a number of substances, including medicines, which can result in severe toxicity including death. The nephrologist may be involved in poisonings that cause kidney disease and for targeted treatments. The overall approach to the poisoned patient involves the initial acute resuscitation and performing a risk assessment, whereby the exposure is considered in terms of the anticipated severity and in the context of the patient's status and treatments that may be required. Time-critical interventions such as gastrointestinal decontamination ( e.g. , activated charcoal) and antidotes are administered when indicated. The nephrologist is usually involved when elimination enhancement techniques are required, such as urine alkalinization or extracorporeal treatments. There is increasing data to guide decision making for the use of extracorporeal treatments in the poisoned patient. Principles to consider are clinical indications such as whether severe toxicity is present, anticipated, and/or will persist and whether the poison will be significantly removed by the extracorporeal treatment. Extracorporeal clearance is maximized for low-molecular weight drugs that are water soluble with minimal protein binding (<80%) and low endogenous clearance and volume of distribution. The dosage of some antidotes ( e.g. , N-acetylcysteine, ethanol, fomepizole) should be increased to maintain therapeutic concentrations once the extracorporeal treatment is initiated. To maximize the effect of an extracorporeal treatment, blood and effluent flows should be optimized, the filter with the largest surface area selected, and duration tailored to remove enough poison to reduce toxicity. Intermittent hemodialysis is recommended in most cases when an extracorporeal treatment is required because it is the most efficient, and continuous kidney replacement therapy is prescribed in some circumstances, particularly if intermittent hemodialysis is not readily available.",Clinical journal of the American Society of Nephrology : CJASN,,,9.8,"Humans,Antidotes,Charcoal,Acetylcysteine,Ethanol,Poisons,Poisoning","D006801,D000931,D002606,D000111,D000431,D011042,D011041",2,2,Journal Article
Fatigue in Patients Receiving Maintenance Hemodialysis: A Review.,37187283,"Maurizio Bossola,S Susan Hedayati,Astrid D H Brys,L Parker Gregg","Hemodialysis Service, Division of Nephrology, Fondazione Policlinico Universitario Agostino Gemelli IRCCS, Università Cattolica del Sacro Cuore, Rome, Italy. Electronic address: maurizio.bossola@gmail.com.////Division of Nephrology, Department of Medicine, University of Texas Southwestern Medical Center, Dallas, Texas.////Department of Internal Medicine, Maastricht University Medical Center, Maastricht, the Netherlands.////Research Service Line, Michael E. DeBakey Veterans Affairs Medical Center, Houston, Texas; Selzman Institute for Kidney Health, Section of Nephrology, Department of Medicine, Baylor College of Medicine, Houston, Texas; Veterans Affairs Health Services Research and Development Center for Innovations in Quality, Effectiveness and Safety, Houston, Texas.","Fatigue surrounding hemodialysis treatments is a common and often debilitating symptom that impacts patients' quality of life. Intradialytic fatigue develops or worsens immediately before hemodialysis and persists through the dialysis treatment. Little is known about associated risk factors or pathophysiology, although it may relate to a classic conditioning response. Postdialysis fatigue (PDF) develops or worsens after hemodialysis and may persist for hours. There is no consensus on how to measure PDF. Estimates for the prevalence of PDF range from 20%-86%, likely due to variation in methods of ascertainment and participant characteristics. Several hypotheses seek to explain the pathophysiology of PDF, including inflammation, hypothalamic-pituitary-adrenal axis dysregulation, and osmotic and fluid shifts, but none is currently supported by compelling or consistent data. PDF is associated with several clinical factors, including cardiovascular and hemodynamic effects of the dialysis procedure, laboratory abnormalities, depression, and physical inactivity. Clinical trials have reported hypothesis-generating data about the utility of cold dialysate, frequent dialysis, clearance of large middle molecules, treatment of depression, and exercise as potential treatments. Existing studies are often limited by sample size, lack of a control group, observational design, or short intervention duration. Robust studies are needed to establish the pathophysiology and management of this important symptom.",American journal of kidney diseases : the official journal of the National Kidney Foundation,IK2 CX002368/CX/CSRD VA/United States R01 DK124379/DK/NIDDK NIH HHS/United States ,,13.2,"Humans,Quality of Life,Hypothalamo-Hypophyseal System,Pituitary-Adrenal System,Renal Dialysis,Fatigue","D006801,D011788,D007030,D010913,D006435,D005221",4,4,"Journal Article,Review,Research Support, N.I.H., Extramural,Research Support, U.S. Gov't, Non-P.H.S."
American Society of Transplant Surgeons recommendations on best practices in donation after circulatory death organ procurement.,36695685,"Kristopher P Croome,Andrew S Barbas,Bryan Whitson,Ali Zarrinpar,Timucin Taner,Denise Lo,Malcolm MacConmara,Jim Kim,Peter T Kennealey,Jonathan S Bromberg,Kenneth Washburn,Vatche G Agopian,Mark Stegall,Cristiano Quintini","Department of Transplant,Mayo Clinic Florida,Jacksonville,Florida,USA. Electronic address: croome.kristopher@mayo.edu.////Division of Abdominal Transplant Surgery,Duke University,Durham,North Carolina,USA.////Division of Cardiac Surgery,Department of Surgery,The Ohio State University Wexner Medical Center,Columbus,Ohio,USA.////Department of Surgery,College of Medicine,University of Florida, Gainesville,Florida,USA.////Department of Surgery,Mayo Clinic Rochester,Rochester,Minnesota,USA.////Emory Transplant Center,Emory University,Atlanta, Georgia,USA.////Division of Surgical Transplantation,Department of Surgery,University of Texas Southwestern Medical Center,Dallas,Texas,USA.////Department of Surgery,Keck Medical Center,University of Southern California,Los Angeles,California,USA.////Department of Surgery,University of Colorado School of Medicine,Aurora,Colorado,USA.////Department of Surgery,University of Maryland School of Medicine,Baltimore,Maryland,USA.////Department of Surgery,The Ohio State University Wexner Medical Center,Columbus,Ohio,USA.////Department of Surgery,David Geffen School of Medicine,University of California,Los Angeles,Los Angeles,California,USA.////Department of Surgery,Transplantation Center,Digestive Disease and Surgery Institute,Cleveland Clinic,Cleveland,Ohio,USA.","The American Society of Transplant Surgeons supports efforts to increase the number of organs that are critically needed for patients desperately awaiting transplantation. In the United States, transplantation using organs procured from donation after circulatory death (DCD) donors has continued to increase in number. Despite these increases, substantial variability in the utilization and practices of DCD transplantation still exists. To improve DCD organ utilization, it is important to create a set of best practices for DCD recovery. The following recommendations aim to provide guidance on contemporary issues surrounding DCD organ procurement in the United States. A work group was composed of members of the American Society of Transplant Surgeon Scientific Studies Committee and the Thoracic Organ Transplantation Committee. The following topics were identified by the group either as controversial or lacking standardization: prewithdrawal preparation, definition of donor warm ischemia time, DCD surgical technique, combined thoracic and abdominal procurements, and normothermic regional perfusion. The proposed recommendations were classified on the basis of the grade of available evidence and the strength of the recommendation. This information should be valuable for transplant programs as well as for organ procurement organizations and donor hospitals as they develop robust DCD donor procurement protocols.",American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,,,8.8,"Humans,United States,Tissue and Organ Procurement,Organ Transplantation,Tissue Donors,Cardiovascular System,Perfusion,Death,Organ Preservation","D006801,D014481,D009927,D016377,D014019,D002319,D010477,D003643,D009926",13,14,"Journal Article,Review"
